Modality,Phase,CQA,Test Methods,Justification,Regulatory Source,Control Action
mAb,Phase 1,Identity,"Peptide Mapping, ELISA, Intact Mass, N-terminal Sequencing",Confirm primary structure and identity,ICH Q6B 4.1,Specification
mAb,Phase 2,Identity,"Peptide Mapping, ELISA, Intact Mass, N-terminal Sequencing",Confirm primary structure and identity,ICH Q6B 4.1,Specification
mAb,Phase 3,Identity,"Peptide Mapping, ELISA, Intact Mass, N-terminal Sequencing",Confirm primary structure and identity,ICH Q6B 4.1,Specification
mAb,Commercial,Identity,"Peptide Mapping, ELISA, Intact Mass, N-terminal Sequencing",Confirm primary structure and identity,ICH Q6B 4.1,Specification
mAb,Phase 1,Purity,"SEC-UPLC, CE-SDS, Capillary Electrophoresis","Detect aggregates, fragments, purity profile",ICH Q6B 4.2,Specification
mAb,Phase 2,Purity,"SEC-UPLC, CE-SDS, Capillary Electrophoresis","Detect aggregates, fragments, purity profile",ICH Q6B 4.2,Specification
mAb,Phase 3,Purity,"SEC-UPLC, CE-SDS, Capillary Electrophoresis","Detect aggregates, fragments, purity profile",ICH Q6B 4.2,Specification
mAb,Commercial,Purity,"SEC-UPLC, CE-SDS, Capillary Electrophoresis","Detect aggregates, fragments, purity profile",ICH Q6B 4.2,Specification
mAb,Phase 1,Potency,"Binding Assay, Bioassay (ADCC, CDC)",Confirm biological activity,ICH Q6B 4.3,Specification
mAb,Phase 2,Potency,"Binding Assay, Bioassay (ADCC, CDC)",Confirm biological activity,ICH Q6B 4.3,Specification
mAb,Phase 3,Potency,"Binding Assay, Bioassay (ADCC, CDC)",Confirm biological activity,ICH Q6B 4.3,Specification
mAb,Commercial,Potency,"Binding Assay, Bioassay (ADCC, CDC)",Confirm biological activity,ICH Q6B 4.3,Specification
mAb,Phase 1,Charge Variants,"icIEF, Ion Exchange Chromatography",Detect isoform variation,ICH Q6B 4.2,Trend Monitoring
mAb,Phase 2,Charge Variants,"icIEF, Ion Exchange Chromatography",Detect isoform variation,ICH Q6B 4.2,Trend Monitoring
mAb,Phase 3,Charge Variants,"icIEF, Ion Exchange Chromatography",Detect isoform variation,ICH Q6B 4.2,Specification
mAb,Commercial,Charge Variants,"icIEF, Ion Exchange Chromatography",Detect isoform variation,ICH Q6B 4.2,Specification
mAb,Phase 1,Glycosylation Profile,"HILIC-UPLC, LC-MS",Monitor glycoform distribution,ICH Q6B 4.2,Trend Monitoring
mAb,Phase 2,Glycosylation Profile,"HILIC-UPLC, LC-MS",Monitor glycoform distribution,ICH Q6B 4.2,Trend Monitoring
mAb,Phase 3,Glycosylation Profile,"HILIC-UPLC, LC-MS",Monitor glycoform distribution,ICH Q6B 4.2,Specification
mAb,Commercial,Glycosylation Profile,"HILIC-UPLC, LC-MS",Monitor glycoform distribution,ICH Q6B 4.2,Specification
mAb,Phase 1,Deamidation,Peptide Mapping LC-MS,Detect stability-related PTM,ICH Q6B 4.2,Trend Monitoring
mAb,Phase 2,Deamidation,Peptide Mapping LC-MS,Detect stability-related PTM,ICH Q6B 4.2,Trend Monitoring
mAb,Phase 3,Deamidation,Peptide Mapping LC-MS,Detect stability-related PTM,ICH Q6B 4.2,Specification
mAb,Commercial,Deamidation,Peptide Mapping LC-MS,Detect stability-related PTM,ICH Q6B 4.2,Specification
